route,item,quantity_to_buy,quantity_used,estimated_USD,url,notes
native,Creator Micro 2 Pro,1,1,check seller,https://worklouder.cc/creator-micro-2,Officially supported; Pro required to also match Bluetooth; availability unconfirmed
native,Codex Micro alternative,1,1,230.00,https://openai.com/supply/co-lab/work-louder/,Alternative to Creator Micro 2; page was out of stock; do not buy both
native,Frosted MX Pure keycaps,1 set,6 1U,check seller,https://worklouder.cc/wrk-mx-pure,For visible agent colors; product page says pre-order
custom,Adafruit KB2040,1,1,8.95,https://www.adafruit.com/product/5302,USB-C RP2040 board; no Bluetooth
custom,Gateron New North Pole Yellow 2.0,1 pack of 35,13,19.04,https://www.gateron.com/products/gateron-new-north-pole-yellow-20-switch-set,Transparent top AND bottom; normal MX type; no Choc or Hall switches
custom,SparkFun COM-09426 thumb slide joystick,1,1,5.95,https://www.sparkfun.com/thumb-slide-joystick.html,PSP1000 style; v5 pegged adapter uses M1.6 x 10 screws and exposed nuts; physical fit test first.
custom,Adafruit rotary encoder 377,1,1,4.50,https://www.adafruit.com/product/377,6 mm D shaft M7 panel bushing; nut and washer; included knob is fallback
custom,Adafruit RGBW mini NeoPixels 4776,2 packs of 10,14,9.90,https://www.adafruit.com/product/4776,6 agent lights plus 8 perimeter; must use GRBW firmware
custom,74AHCT125 DIP level shifter,1,1,check seller,https://www.adafruit.com/product/1787,5 V supply; translates 3.3 V data to pixels
custom,1N4148 diodes,2 packs of 10,13,check seller,https://www.adafruit.com/product/1641,One per physical switch; band toward matrix row
custom,28 AWG silicone ribbon,1 m 10 conductors,as needed,check seller,https://www.adafruit.com/product/3890,Signals and short LED wiring; use 24-26 AWG for power trunk
custom,Translucent MX caps optional,1 pack of 10,6,4.95,https://www.adafruit.com/product/4956,Replaces printed translucent 1U caps
custom,White MX caps optional,1 pack of 10,5,check seller,https://www.adafruit.com/product/4998,Replaces printed white 1U caps; wide cap still custom
custom,M3 x 4 mm heat-set inserts OD4.2,1 pack of 50,10 installed + 2 for tray sample,5.95,https://www.adafruit.com/product/4255,"Existing pack; four case, two foot, four tray; 2 additional inserts remain in sample. Test 3.9 mm pilot first."
custom,M3 x 8 mm screws,1 small pack,6,estimate 3-6,https://www.mcmaster.com/products/screws/thread-size~m3/length~8-mm/,Four top socket caps; two foot low-profile heads max6 mm diameter max1.7 mm high
custom,Passives and prototype board,1 small assortment,see guide,estimate 8-15,https://www.adafruit.com/category/34,330 ohm x1; 1M ohm x1; 1k ohm x3; 100nF x1; 100uF 10V x1; three 3mm LEDs; perfboard max25x20mm
custom,Copper foil and insulation,1 small roll each,as needed,estimate 8-12,https://www.adafruit.com/search?q=copper%20tape,13mm copper touch disk; polyimide tape; thin foam tape
custom,LED mounting tape - 3M 9474LE,1 pack of 5 sheets (12 x 9.5 inches),Small pieces; less than one sheet,20.88,https://www.amazon.com/dp/B0CLJ3RK2B,0.17 mm polyester-backed 300LSE tape excluding liners; one layer within 0.2 mm tray allowance. Strong permanent adhesive; dry-fit first. Price checked 2026-09-15; may change.
custom,USB-C DATA cable,1,1,estimate 5-10,https://www.adafruit.com/search?q=USB%20C%20cable,Connector overmold must fit 15x8mm rear tunnel
custom,Rubber foot material and optional weights,1 strip and 4 washers,as needed,estimate 4-8,https://www.mcmaster.com/products/rubber/,Adhesive rubber 1-2mm; optional M8 fender washers OD24 max thickness2mm
materials,Clear or natural PETG 1.75mm,1 spool,approx150g allowance,estimate 20-30,https://shop.polymaker.com/products/petg,Choose Clear; case and six agent caps; buy spool not refill if no empty spool
materials,White PETG 1.75mm,1 spool,approx100g allowance,estimate 20-30,https://shop.polymaker.com/products/petg,Plate white command caps knob and foot; clear plate optional
materials,Black PETG 1.75mm,1 small spool,approx50g allowance,estimate 15-25,https://shop.polymaker.com/products/petg,New lower baffle tray and touch cap; use black PETG for the screwed tray; test sample first.
custom,Clear waterslide decal paper optional,1 pack of 20 sheets,part of 1 sheet,15.99 + sealer,https://www.hayespaper.com/products/inkjet-printer-waterslide-decal-paper,Optional printed legends; inkjet version requires inkjet printer and suitable sealer; print shop alternative
custom,Joystick adapter v5 M1.6 × 10 mm DIN 912 screws,2,2,check seller,https://www.accu.co.uk/metric-cap-head-screws/3785-SSCF-M1-6-10-A2,New length for v5; previous 8 mm screws too short. Reuse M1.6 nuts; 1.5 mm hex key.
custom,Joystick fit holder M1.6 DIN 934 hex nuts,2,2,check seller,https://www.accu.co.uk/hexagon-nuts/7882-HPN-M1-6-A2,"Reuse existing nuts; exposed beneath v5 upper plate. 3.2 mm across flats, 1.3 mm thick."
hardware,Tray: reuse McMaster 91290A113 M3 x 8 screws,4 spare from existing pack,4 (2 reused from sample),already specified,https://www.mcmaster.com/91290A113/,No long bolts or loose tray nuts; requires four spare Adafruit 4255 heat-set inserts.
